,budget,genres,id,imdb_id,popularity,release_date,revenue,runtime,title,vote_average,vote_count
4034,0,"['Drama', 'Horror', 'Mystery', 'Thriller']",14254,tt0815245,9.943,2009-01-30,41624046,87.0,The Uninvited,6.4,855
4035,28000000,"['Comedy', 'Romance', 'Drama']",3638,tt0481141,8.751,2007-07-25,92601050,104.0,No Reservations,6.4,657
4036,10000000,"['Comedy', 'Romance']",10466,tt0091541,8.542,1986-03-15,54999651,91.0,The Money Pit,6.4,572
4037,85000000,"['Drama', 'Thriller', 'History']",1247,tt0343737,11.916,2006-12-11,59908565,167.0,The Good Shepherd,6.4,612
4038,132000000,"['Adventure', 'Thriller', 'Science Fiction']",74,tt0407304,15.89,2005-06-28,591739379,116.0,War of the Worlds,6.4,5013
4039,42000000,"['Action', 'Thriller', 'Crime']",49527,tt1568338,14.02,2012-01-13,46221189,102.0,Man on a Ledge,6.4,1623
4040,55000000,"['Action', 'Adventure', 'Crime', 'Thriller']",2207,tt0450232,14.427,2006-03-01,65664721,105.0,16 Blocks,6.4,1186
4041,65000000,"['Action', 'Adventure', 'Thriller']",5551,tt0186566,10.387,2000-07-31,128884132,130.0,Space Cowboys,6.4,752
4042,0,"['Comedy', 'Adventure', 'Family', 'Animation']",15567,tt0348124,9.908,2003-08-26,0,60.0,Stitch! The Movie,6.4,372
4043,0,"['Comedy', 'Family', 'Fantasy']",14136,tt0064603,8.171,1968-12-22,0,107.0,The Love Bug,6.4,274
4044,58000000,"['Horror', 'Science Fiction', 'Thriller']",395992,tt5442430,13.56,2017-03-22,100541806,103.0,Life,6.4,4697
4045,150000000,"['Family', 'Animation', 'Comedy']",10527,tt0479952,18.367,2008-10-30,603900354,89.0,Madagascar: Escape 2 Africa,6.4,4306
4046,10000000,"['Horror', 'Thriller', 'Crime']",214,tt0489270,14.24,2006-10-27,163876815,114.0,Saw III,6.4,2529
4047,0,"['Comedy', 'Drama', 'Music', 'TV Movie', 'Family']",13655,tt1055366,11.622,2008-06-20,0,94.0,Camp Rock,6.4,1370
4048,0,"['Comedy', 'Family', 'Romance']",33689,tt0113442,10.861,1995-11-17,0,101.0,It Takes Two,6.4,484
4049,10500000,"['Drama', 'Western']",266285,tt2720680,10.032,2014-05-22,42070000,92.0,The Salvation,6.4,482
4050,125000000,"['Animation', 'Comedy', 'Family']",295693,tt3874544,7.635,2017-03-23,498814908,97.0,The Boss Baby,6.4,4694
4051,60000000,"['Drama', 'Mystery', 'Thriller']",6947,tt0368447,13.157,2004-07-30,256697520,108.0,The Village,6.4,2396
4052,85000000,"['Action', 'Thriller']",9772,tt0118571,14.844,1997-07-25,315156409,124.0,Air Force One,6.4,1590
4053,0,['Comedy'],16614,tt1091722,10.709,2009-04-03,17164377,107.0,Adventureland,6.4,1420
4054,2000000,"['Thriller', 'Crime', 'Horror']",43947,tt1242432,14.129,2010-06-17,572809,108.0,I Spit on Your Grave,6.4,1135
4055,0,"['Animation', 'Fantasy', 'Family']",18198,tt1201561,18.511,2008-02-08,0,75.0,Barbie Mariposa,6.4,250
4056,170000000,"['Adventure', 'Action', 'Science Fiction']",20526,tt1104001,17.149,2010-12-10,400062763,125.0,TRON: Legacy,6.4,4793
4057,103000000,"['Adventure', 'Comedy', 'Family', 'Animation']",172385,tt2357291,16.479,2014-03-19,500188435,102.0,Rio 2,6.4,2040
4058,50000000,"['Action', 'Drama', 'Thriller']",241554,tt2199571,17.052,2015-03-11,71561644,114.0,Run All Night,6.4,1845
4059,45000000,"['Crime', 'Drama', 'Thriller']",82525,tt1615065,12.07,2012-07-06,82966152,131.0,Savages,6.4,1385
4060,0,"['Drama', 'War']",390054,tt2582576,9.628,2017-04-21,0,113.0,Sand Castle,6.4,412
4061,11000000,['Comedy'],10471,tt0195945,8.94,2000-01-12,59827328,98.0,Next Friday,6.4,288
4062,0,"['Romance', 'Comedy', 'Family']",10897,tt0110366,8.763,1994-08-05,67308282,82.0,The Little Rascals,6.4,560
4063,24000000,"['Comedy', 'Romance']",184098,tt2239832,9.233,2014-06-20,70181428,105.0,Think Like a Man Too,6.4,349
4064,30000000,"['Adventure', 'Fantasy', 'Mystery']",8054,tt1054606,11.688,2009-10-01,64352607,123.0,The Imaginarium of Doctor Parnassus,6.4,1798
4065,15000000,"['Crime', 'Thriller', 'Horror', 'Drama']",18405,tt0844708,10.182,2009-03-13,32721635,110.0,The Last House on the Left,6.4,922
4066,6000000,"['Comedy', 'Drama']",328589,tt3722070,7.759,2015-11-13,41387687,104.0,The Lady in the Van,6.4,444
4067,0,['Comedy'],200713,tt2853614,5.586,2013-10-16,0,82.0,9 Month Stretch,6.4,325
4068,11000000,"['Action', 'Drama', 'Fantasy', 'Horror']",20481,tt0100260,7.059,1990-02-16,8862354,102.0,Nightbreed,6.4,201
4069,40000000,"['Comedy', 'Romance']",20048,tt1093908,11.93,2009-02-05,108332743,104.0,Confessions of a Shopaholic,6.4,1843
4070,8500000,"['Drama', 'Mystery']",396461,tt5691670,9.501,2018-06-21,0,139.0,Under the Silver Lake,6.4,524
4071,2500000,"['Action', 'Science Fiction']",1687,tt0067065,9.932,1971-05-20,12348905,98.0,Escape from the Planet of the Apes,6.4,504
4072,0,"['Comedy', 'Romance']",9681,tt0402894,8.549,2005-12-25,37691644,112.0,Casanova,6.4,471
4073,0,"['Action', 'Comedy', 'Horror']",429733,tt4348012,10.13,2017-03-13,0,86.0,Mayhem,6.4,279
4074,7000000,"['Horror', 'Thriller']",11503,tt0096071,5.924,1988-02-05,19595031,98.0,The Serpent and the Rainbow,6.4,217
4075,40000000,"['Action', 'Adventure', 'Drama', 'Family']",38575,tt1155076,11.066,2010-06-10,357852395,140.0,The Karate Kid,6.4,3562
4076,34200000,"['Comedy', 'Drama']",9032,tt0142342,9.712,1999-06-25,234801895,93.0,Big Daddy,6.4,1949
4077,40000000,"['Comedy', 'Music', 'Romance']",11172,tt0758766,9.502,2007-02-09,145896422,96.0,Music and Lyrics,6.4,1049
4078,0,"['Fantasy', 'Animation', 'Family', 'Adventure']",13225,tt0104254,9.296,1992-04-10,32710894,76.0,FernGully: The Last Rainforest,6.4,340
4079,9300000,"['Animation', 'Science Fiction', 'Adventure', 'Fantasy', 'Music']",11827,tt0082509,10.999,1981-08-07,546545,90.0,Heavy Metal,6.4,319
4080,21000000,['Drama'],50780,tt1321860,8.781,2011-02-11,970816,91.0,The Beaver,6.4,539
4081,0,['Horror'],354216,tt4935372,7.843,2017-03-17,0,79.0,The Devil's Candy,6.4,388
4082,0,"['Comedy', 'Thriller', 'Crime']",66195,tt1334553,7.352,2010-07-01,14870,93.0,The Perfect Host,6.4,242
4083,0,"['Action', 'Adventure', 'Comedy', 'Crime', 'Drama', 'Thriller']",9404,tt0116704,9.022,1996-02-10,21890845,107.0,Police Story 4: First Strike,6.4,214
4084,8000000,['Comedy'],592336,tt9260446,4.627,2019-04-18,5000000,100.0,Don't Stop Me Now,6.4,201
4085,50000000,"['Comedy', 'Horror', 'Fantasy']",928,tt0099700,9.667,1990-06-15,41482207,106.0,Gremlins 2: The New Batch,6.4,1436
4086,22000000,['Comedy'],2294,tt0261392,13.359,2001-08-22,33788161,104.0,Jay and Silent Bob Strike Back,6.4,891
4087,0,"['Horror', 'Comedy', 'Thriller']",5072,tt0464196,8.097,2006-05-19,0,96.0,Severance,6.4,300
4088,22000000,"['Fantasy', 'Music']",13192,tt0095655,6.254,1988-10-29,0,93.0,Moonwalker,6.4,257
4089,3700000,['Thriller'],9828,tt0450340,6.733,2006-11-03,3338228,98.0,Unknown,6.4,216
4090,55000000,"['Thriller', 'Drama', 'Mystery']",9315,tt0408790,10.492,2005-09-22,223387299,98.0,Flightplan,6.4,1458
4091,0,['Comedy'],432613,tt6021478,7.227,2017-10-25,0,92.0,"Marry Me, Dude",6.4,653
